aerolinea,codigo,origen,destino,tipoViaje,tipoDestino,horaSalida,horaLlegada,capacidad,costo,promocion,penalizacion
GOL,203,Santa Cruz,Curitiba,Directo,Internacional,900,1130,150,295.00,PorTiempo,Ninguna
Azul,204,Santa Cruz,Belo Horizonte,Directo,Internacional,1000,1300,150,330.00,PorTiempo,Ninguna
Azul,205,Santa Cruz,Brasilia,Directo,Internacional,1100,1400,150,320.00,Ninguna,Ninguna
Azul,206,Santa Cruz,Manaus,EscalaDirecta,Internacional,1200,1530,130,380.00,Ninguna,Ninguna
Turkish Airlines,207,Santa Cruz,Istanbul,Transbordo,Internacional,2300,1800,280,1100.00,PorTiempo,Ninguna
Emirates,208,Santa Cruz,Dubai,Transbordo,Internacional,2200,1900,300,1250.00,PorDistancia,Ninguna
Air Europa,209,Santa Cruz,Madrid,Transbordo,Internacional,2100,1200,250,870.00,PorTiempo,Ninguna
Lufthansa,210,Santa Cruz,Frankfurt,Transbordo,Internacional,2200,1400,280,980.00,Ninguna,Ninguna
British Airways,211,Santa Cruz,Londres,Transbordo,Internacional,2300,1500,280,1020.00,PorDistancia,Ninguna
LATAM,212,Lima,La Paz,Directo,Internacional,1000,1200,180,210.00,PorTiempo,Ninguna
LATAM,213,Lima,Santa Cruz,Directo,Internacional,1100,1330,180,230.00,Ninguna,Ninguna
LATAM,214,Santiago,La Paz,Directo,Internacional,700,1000,180,280.00,PorTiempo,Ninguna
LATAM,215,Santiago,Santa Cruz,Directo,Internacional,800,1130,180,300.00,Ninguna,Ninguna
LATAM,216,Sao Paulo,La Paz,Directo,Internacional,1400,1730,200,350.00,Ninguna,Ninguna
LATAM,217,Sao Paulo,Santa Cruz,Directo,Internacional,1500,1730,200,320.00,PorTiempo,Ninguna
Avianca,218,Bogota,La Paz,Directo,Internacional,700,930,160,320.00,Ninguna,Ninguna
Avianca,219,Bogota,Santa Cruz,Directo,Internacional,800,1030,160,310.00,PorDistancia,Ninguna
Avianca,220,Panama,La Paz,EscalaDirecta,Internacional,900,1230,160,380.00,PorTiempo,Ninguna
Avianca,221,Panama,Santa Cruz,Directo,Internacional,1000,1300,160,350.00,PorTiempo,Ninguna
American Airlines,222,Miami,La Paz,EscalaDirecta,Internacional,800,1400,200,520.00,PorTiempo,Ninguna
American Airlines,223,Miami,Santa Cruz,Directo,Internacional,900,1430,200,490.00,Ninguna,Ninguna
American Airlines,224,New York,Santa Cruz,Transbordo,Internacional,700,1900,200,650.00,Ninguna,Ninguna
Iberia,225,Madrid,La Paz,Transbordo,Internacional,1100,600,250,890.00,PorTiempo,Ninguna
Iberia,226,Madrid,Santa Cruz,Transbordo,Internacional,1200,700,250,860.00,Ninguna,Ninguna
Air France,227,Paris,Santa Cruz,Transbordo,Internacional,1300,600,250,920.00,Ninguna,Ninguna
Copa Airlines,228,Panama,Santa Cruz,Directo,Internacional,700,1000,160,350.00,PorDistancia,Ninguna
Copa Airlines,229,San Jose,Santa Cruz,EscalaDirecta,Internacional,800,1130,150,390.00,Ninguna,Ninguna
Aerolineas Argentinas,230,Buenos Aires,La Paz,Directo,Internacional,700,1000,180,285.00,Ninguna,Ninguna
Aerolineas Argentinas,231,Buenos Aires,Santa Cruz,Directo,Internacional,800,1045,180,265.00,PorDistancia,Ninguna
GOL,232,Rio de Janeiro,Santa Cruz,Directo,Internacional,1000,1300,180,340.00,Ninguna,Ninguna
GOL,233,Porto Alegre,Santa Cruz,EscalaDirecta,Internacional,1100,1400,150,300.00,PorDistancia,Ninguna
Azul,234,Belo Horizonte,Santa Cruz,Directo,Internacional,1200,1500,150,330.00,PorTiempo,Ninguna
Turkish Airlines,235,Istanbul,Santa Cruz,Transbordo,Internacional,1000,600,280,1100.00,PorTiempo,Ninguna
Emirates,236,Dubai,Santa Cruz,Transbordo,Internacional,900,600,300,1250.00,PorDistancia,Ninguna
Lufthansa,237,Frankfurt,Santa Cruz,Transbordo,Internacional,1100,600,280,980.00,PorTiempo,Ninguna
British Airways,238,Londres,Santa Cruz,Transbordo,Internacional,1200,700,280,1020.00,Ninguna,Ninguna
LATAM,239,Lima,Bogota,Directo,Internacional,800,1000,180,190.00,Ninguna,Ninguna
LATAM,240,Lima,Santiago,Directo,Internacional,900,1130,180,220.00,Ninguna,Ninguna
LATAM,241,Lima,Sao Paulo,Directo,Internacional,1000,1400,200,310.00,PorTiempo,Ninguna
LATAM,242,Lima,Buenos Aires,Directo,Internacional,1100,1500,180,280.00,PorTiempo,Ninguna
LATAM,243,Lima,Miami,EscalaDirecta,Internacional,1200,1900,200,480.00,PorTiempo,Ninguna
LATAM,244,Lima,Madrid,Transbordo,Internacional,2200,1300,250,820.00,PorDistancia,Ninguna
LATAM,245,Santiago,Bogota,Directo,Internacional,700,1000,180,240.00,PorTiempo,Ninguna
LATAM,246,Santiago,Sao Paulo,Directo,Internacional,800,1130,200,290.00,Ninguna,Ninguna
LATAM,247,Santiago,Buenos Aires,Directo,Internacional,900,1100,180,180.00,PorTiempo,Ninguna
LATAM,248,Santiago,Miami,EscalaDirecta,Internacional,1000,1800,200,520.00,PorTiempo,Ninguna
LATAM,249,Santiago,Madrid,Transbordo,Internacional,2200,1200,250,850.00,PorTiempo,Ninguna
LATAM,250,Bogota,Miami,Directo,Internacional,700,1100,200,380.00,Ninguna,Ninguna
Avianca,251,Bogota,Madrid,Directo,Internacional,2100,1100,250,780.00,PorDistancia,Ninguna
Avianca,252,Bogota,New York,Directo,Internacional,800,1400,200,490.00,PorDistancia,Ninguna
Avianca,253,Bogota,Mexico City,Directo,Internacional,900,1200,180,310.00,Ninguna,Ninguna
Avianca,254,Bogota,Lima,Directo,Internacional,1000,1200,180,190.00,Ninguna,Ninguna
Avianca,255,Bogota,Quito,Directo,Internacional,700,800,160,120.00,PorDistancia,Ninguna
Avianca,256,Bogota,Guayaquil,Directo,Internacional,800,940,160,150.00,PorDistancia,Ninguna
Copa Airlines,257,Panama,Miami,Directo,Internacional,700,1000,180,290.00,Ninguna,Ninguna
Copa Airlines,258,Panama,New York,Directo,Internacional,800,1200,180,380.00,PorDistancia,Ninguna
Copa Airlines,259,Panama,Bogota,Directo,Internacional,900,1100,160,200.00,PorTiempo,Ninguna
Copa Airlines,260,Panama,Lima,Directo,Internacional,1000,1230,160,250.00,Ninguna,Ninguna
Copa Airlines,261,Panama,Mexico City,Directo,Internacional,1100,1400,150,280.00,PorDistancia,Ninguna
Copa Airlines,262,Panama,San Jose,Directo,Internacional,700,800,150,130.00,PorDistancia,Ninguna
Copa Airlines,263,Panama,Guatemala City,Directo,Internacional,800,930,150,160.00,Ninguna,Ninguna
Aeromexico,264,Mexico City,Miami,Directo,Internacional,700,1100,200,320.00,Ninguna,Ninguna
Aeromexico,265,Mexico City,New York,Directo,Internacional,800,1300,200,380.00,PorDistancia,Ninguna
Aeromexico,266,Mexico City,Madrid,Directo,Internacional,2200,1200,250,780.00,PorDistancia,Ninguna
Aeromexico,267,Mexico City,Panama,Directo,Internacional,900,1200,150,280.00,PorDistancia,Ninguna
Aeromexico,268,Mexico City,Bogota,Directo,Internacional,1000,1300,160,310.00,PorDistancia,Ninguna
American Airlines,269,Miami,New York,Directo,Internacional,700,1000,250,180.00,Ninguna,Ninguna
American Airlines,270,Miami,Madrid,Transbordo,Internacional,2100,1200,280,690.00,PorTiempo,Ninguna
American Airlines,271,Miami,Bogota,Directo,Internacional,800,1200,200,380.00,PorDistancia,Ninguna
American Airlines,272,Miami,Lima,EscalaDirecta,Internacional,900,1300,200,480.00,Ninguna,Ninguna
American Airlines,273,Miami,Mexico City,Directo,Internacional,700,1000,200,320.00,Ninguna,Ninguna
American Airlines,274,Miami,Cancun,Directo,Internacional,800,1000,180,210.00,PorDistancia,Ninguna
American Airlines,275,New York,Madrid,Directo,Internacional,2200,1000,300,580.00,PorTiempo,Ninguna
American Airlines,276,New York,Londres,Directo,Internacional,2100,900,300,560.00,PorDistancia,Ninguna
American Airlines,277,New York,Paris,Directo,Internacional,2200,1100,300,590.00,PorDistancia,Ninguna
American Airlines,278,New York,Miami,Directo,Internacional,700,1000,250,180.00,PorDistancia,Ninguna
American Airlines,279,New York,Los Angeles,Directo,Internacional,700,1030,280,280.00,PorDistancia,Ninguna
American Airlines,280,Los Angeles,New York,Directo,Internacional,700,1530,280,280.00,Ninguna,Ninguna
American Airlines,281,Los Angeles,Tokyo,Directo,Internacional,1100,1500,300,850.00,PorTiempo,Ninguna
American Airlines,282,Los Angeles,Sydney,Directo,Internacional,2200,800,300,980.00,PorTiempo,Ninguna
American Airlines,283,Los Angeles,Mexico City,Directo,Internacional,700,1000,200,280.00,Ninguna,Ninguna
Iberia,284,Madrid,Londres,Directo,Internacional,700,900,250,180.00,Ninguna,Ninguna
Iberia,285,Madrid,Paris,Directo,Internacional,700,830,250,150.00,Ninguna,Ninguna
Iberia,286,Madrid,Frankfurt,Directo,Internacional,800,1000,250,200.00,PorTiempo,Ninguna
Iberia,287,Madrid,Rome,Directo,Internacional,800,1000,250,190.00,PorTiempo,Ninguna
Iberia,288,Madrid,Buenos Aires,Directo,Internacional,2200,800,280,850.00,Ninguna,Ninguna
Iberia,289,Madrid,Bogota,Directo,Internacional,2300,700,250,780.00,PorTiempo,Ninguna
Iberia,290,Madrid,Mexico City,Directo,Internacional,2100,600,250,760.00,Ninguna,Ninguna
Air France,291,Paris,Londres,Directo,Internacional,700,800,250,130.00,PorTiempo,Ninguna
Air France,292,Paris,Frankfurt,Directo,Internacional,700,845,250,140.00,Ninguna,Ninguna
Air France,293,Paris,Amsterdam,Directo,Internacional,700,815,250,120.00,PorTiempo,Ninguna
Air France,294,Paris,Roma,Directo,Internacional,800,1000,250,160.00,Ninguna,Ninguna
Air France,295,Paris,New York,Directo,Internacional,2200,1000,300,590.00,PorDistancia,Ninguna
Air France,296,Paris,Tokyo,Transbordo,Internacional,1100,800,300,950.00,PorDistancia,Ninguna
Air France,297,Paris,Buenos Aires,Transbordo,Internacional,2200,700,280,870.00,Ninguna,Ninguna
Lufthansa,298,Frankfurt,Londres,Directo,Internacional,700,845,250,150.00,Ninguna,Ninguna
Lufthansa,299,Frankfurt,Paris,Directo,Internacional,800,945,250,140.00,PorTiempo,Ninguna
Lufthansa,300,Frankfurt,Amsterdam,Directo,Internacional,700,830,250,120.00,PorTiempo,Ninguna
Lufthansa,301,Frankfurt,Roma,Directo,Internacional,800,1000,250,160.00,PorTiempo,Ninguna
Lufthansa,302,Frankfurt,New York,Directo,Internacional,2200,1000,300,560.00,PorTiempo,Ninguna
Lufthansa,303,Frankfurt,Tokyo,Directo,Internacional,1100,700,300,920.00,PorDistancia,Ninguna
Lufthansa,304,Frankfurt,Dubai,Directo,Internacional,800,1400,280,450.00,Ninguna,Ninguna
British Airways,305,Londres,Paris,Directo,Internacional,700,800,250,130.00,PorTiempo,Ninguna
British Airways,306,Londres,Frankfurt,Directo,Internacional,700,900,250,150.00,PorDistancia,Ninguna
British Airways,307,Londres,Madrid,Directo,Internacional,700,1000,250,180.00,PorTiempo,Ninguna
British Airways,308,Londres,New York,Directo,Internacional,2200,900,300,560.00,Ninguna,Ninguna
British Airways,309,Londres,Dubai,Directo,Internacional,800,1800,280,480.00,Ninguna,Ninguna
British Airways,310,Londres,Sydney,Directo,Internacional,2200,600,300,1050.00,PorDistancia,Ninguna
British Airways,311,Londres,Tokyo,Directo,Internacional,1100,800,300,890.00,PorTiempo,Ninguna
KLM,312,Amsterdam,Londres,Directo,Internacional,700,800,250,130.00,Ninguna,Ninguna
KLM,313,Amsterdam,Paris,Directo,Internacional,700,815,250,120.00,PorTiempo,Ninguna
KLM,314,Amsterdam,Frankfurt,Directo,Internacional,700,830,250,120.00,PorTiempo,Ninguna
KLM,315,Amsterdam,New York,Directo,Internacional,2200,900,300,540.00,PorDistancia,Ninguna
KLM,316,Amsterdam,Tokyo,Directo,Internacional,1100,700,300,910.00,Ninguna,Ninguna
Emirates,317,Dubai,Londres,Directo,Internacional,800,1200,350,580.00,Ninguna,Ninguna
Emirates,318,Dubai,Paris,Directo,Internacional,800,1300,350,560.00,PorTiempo,Ninguna
Emirates,319,Dubai,Frankfurt,Directo,Internacional,800,1200,350,540.00,Ninguna,Ninguna
Emirates,320,Dubai,New York,Directo,Internacional,800,1400,350,720.00,PorTiempo,Ninguna
Emirates,321,Dubai,Tokyo,Directo,Internacional,800,1900,350,680.00,PorTiempo,Ninguna
Emirates,322,Dubai,Sydney,Directo,Internacional,800,2200,350,780.00,PorTiempo,Ninguna
Emirates,323,Dubai,Singapur,Directo,Internacional,800,1800,350,480.00,PorDistancia,Ninguna
Emirates,324,Dubai,Mumbai,Directo,Internacional,800,1100,350,280.00,PorTiempo,Ninguna
Turkish Airlines,325,Istanbul,Londres,Directo,Internacional,800,1100,300,380.00,PorDistancia,Ninguna
Turkish Airlines,326,Istanbul,Paris,Directo,Internacional,800,1030,300,360.00,PorDistancia,Ninguna
Turkish Airlines,327,Istanbul,Frankfurt,Directo,Internacional,800,1000,300,340.00,PorTiempo,Ninguna
Turkish Airlines,328,Istanbul,New York,Directo,Internacional,800,1300,300,580.00,Ninguna,Ninguna
Turkish Airlines,329,Istanbul,Dubai,Directo,Internacional,800,1200,300,320.00,PorDistancia,Ninguna
Turkish Airlines,330,Istanbul,Tokyo,Directo,Internacional,800,2000,300,780.00,PorTiempo,Ninguna
Turkish Airlines,331,Istanbul,Singapur,Directo,Internacional,800,1900,300,580.00,Ninguna,Ninguna
Japan Airlines,332,Tokyo,Los Angeles,Directo,Internacional,1100,600,300,850.00,Ninguna,Ninguna
Japan Airlines,333,Tokyo,New York,Directo,Internacional,1200,900,300,920.00,PorTiempo,Ninguna
Japan Airlines,334,Tokyo,Londres,Directo,Internacional,1100,1500,300,890.00,Ninguna,Ninguna
Japan Airlines,335,Tokyo,Paris,Directo,Internacional,1100,1600,300,910.00,PorTiempo,Ninguna
Japan Airlines,336,Tokyo,Singapur,Directo,Internacional,700,1200,280,380.00,PorTiempo,Ninguna
Japan Airlines,337,Tokyo,Sydney,Directo,Internacional,1000,1900,280,620.00,PorTiempo,Ninguna
Singapore Airlines,338,Singapur,Londres,Directo,Internacional,800,1400,350,780.00,PorTiempo,Ninguna
Singapore Airlines,339,Singapur,Paris,Directo,Internacional,800,1500,350,800.00,PorTiempo,Ninguna
Singapore Airlines,340,Singapur,Tokyo,Directo,Internacional,700,1200,280,380.00,PorDistancia,Ninguna
Singapore Airlines,341,Singapur,Sydney,Directo,Internacional,800,1500,280,480.00,Ninguna,Ninguna
Singapore Airlines,342,Singapur,Dubai,Directo,Internacional,800,1200,300,480.00,Ninguna,Ninguna
Qantas,343,Sydney,Los Angeles,Directo,Internacional,2200,1200,300,980.00,PorDistancia,Ninguna
Qantas,344,Sydney,Londres,Directo,Internacional,2100,600,300,1050.00,PorTiempo,Ninguna
Qantas,345,Sydney,Tokyo,Directo,Internacional,700,1500,280,620.00,PorTiempo,Ninguna
Qantas,346,Sydney,Singapur,Directo,Internacional,800,1200,280,480.00,Ninguna,Ninguna
Qantas,347,Sydney,Auckland,Directo,Internacional,700,900,200,280.00,PorTiempo,Ninguna
Air Canada,348,Toronto,Londres,Directo,Internacional,2200,1000,300,540.00,Ninguna,Ninguna
Air Canada,349,Toronto,Paris,Directo,Internacional,2200,1100,300,560.00,PorTiempo,Ninguna
Air Canada,350,Toronto,New York,Directo,Internacional,700,900,250,180.00,PorTiempo,Ninguna
Air Canada,351,Toronto,Vancouver,Directo,Internacional,700,1000,250,280.00,PorTiempo,Ninguna
Air Canada,352,Toronto,Mexico City,Directo,Internacional,800,1300,200,380.00,Ninguna,Ninguna
Air Canada,353,Vancouver,Tokyo,Directo,Internacional,1100,1400,300,820.00,Ninguna,Ninguna
Air Canada,354,Vancouver,Los Angeles,Directo,Internacional,700,900,250,180.00,Ninguna,Ninguna
Copa Airlines,255,Lima,Panama,Directo,Internacional,1230,1400,160,250.00,PorTiempo,Ninguna
LATAM,256,Santiago,Lima,Directo,Internacional,1400,1630,180,220.00,Ninguna,Ninguna
LATAM,257,Buenos Aires,Lima,Directo,Internacional,1900,2200,180,280.00,Ninguna,Ninguna
LATAM,258,Buenos Aires,Santiago,Directo,Internacional,1300,1500,180,180.00,Ninguna,Ninguna
Avianca,259,Buenos Aires,Bogota,Directo,Internacional,800,1100,160,350.00,PorDistancia,Ninguna
Iberia,260,Buenos Aires,Madrid,Directo,Internacional,800,600,280,850.00,Ninguna,Ninguna
GOL,261,Buenos Aires,Sao Paulo,Directo,Internacional,700,900,180,180.00,Ninguna,Ninguna
